key	en	ar	zh-Hant	zh-CN	nl	de	el	ja	lv	pt	es	th	it
350n	Area, square inches (variable measure trade item)	معرف المساحة، انشات مربعة	面積，英呎	面积，平方英寸	Oppervlakte in vierkante inches (artikel met variabele gegevens)	Fläche, Square Inch (Mengenvariable Handelseinheiten)	Εμβαδόν, Τετρ. Ίντσες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	物流単位の総面積（平方インチ）	Virsma, kvadrātcollas	Área, Comercial, Polegadas Quadradas (item de dimensões variáveis)	Área, pulgadas cuadradas  (artículo comercial de medidas variables)	พื้นที่, หน่วยตารางนิ้ว (สินค้าที่มีปริมาณผันแปร)	Superficie, pollici quadrati (unità commerciale a misura variabile)
351n	Area, square feet (variable measure trade item)	معرف المساحة ، قدم مربعة (قياس متغير للعنصر التجاري)	面積，英吋（變動型交易品項量測單位）	面积，平方英尺（变量贸易项目）	Oppervlakte in vierkante feet (artikel met variabele gegevens)	Fläche, Square Feet (Mengenvariable Handelseinheiten)	Εμβαδόν, Τετρ. Πόδια (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の面積（平方フィート）	Virsma, kvadrātpēdas (mainīga daudzuma tirdzniecības vienības)	Área, Comercial, Pés Quadrados (item de dimensões variáveis)	Área, pies cuadrados (artículo comercial de medidas variables)	พื้นที่, หน่วยตารางฟุต (สินค้าที่มีปริมาณผันแปร)	Superficie, piedi quadrati (unità commerciale a misura variabile)
352n	Area, square yards (variable measure trade item)	معرف المساحة ، ياردة مربعة (قياس متغير للعنصر التجاري)	面積，碼（變動型交易品項量測單位）	面积，平方码（变量贸易项目）	Oppervlakte in vierkante yards (artikel met variabele gegevens)	Fläche, Square Yards (Mengenvariable Handelseinheiten)	Εμβαδόν, Τετρ. Γιάρδες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の面積（平方ヤード）	Virsma, kvadrātjardi (mainīga daudzuma tirdzniecības vienības)	Área, Comercial, Jardas Quadradas (item de dimensões variáveis)	Área, yardas cuadradas (artículo comercial de medidas variables)	พื้นที่, หน่วยตารางหลา (สินค้าที่มีปริมาณผันแปร)	Superficie, iarde quadrate (unità commerciale a misura variabile)
353n	Area, square inches	معرف المساحة، انشات مربعة	面积，平方英寸	面积，平方英寸	Oppervlakte in vierkante inches	Fläche, Square Inch	Εμβαδόν, Τετρ. Ίντσες	物流単位の総面積（平方インチ）	Virsma, kvadrātcollas	Área, Logística (Polegadas Quadradas)	Área, pulgadas cuadradas	พื้นที่, หน่วยตารางนิ้ว	Superficie, pollici quadrati
354n	Area, square feet	معرف المساحة ، قدم مربعة	面積，英吋	面积，平方英尺	Oppervlakte in vierkante feet	Fläche, Square Feet	Εμβαδόν, Τετρ. Πόδια	物流単位の総面積（平方フィート）	Virsma, kvadrātpēdas	Área, Logística (Pés Quadrados)	Área, pies cuadrados	พื้นที่, หน่วยตารางฟุต	Superficie, piedi quadrati
355n	Area, square yards	معرف المساحة ، ياردة مربعة	面積，碼	面积，平方码	Oppervlakte in vierkante yards	Fläche, Square Yard	Εμβαδόν, Τετρ. Γιάρδες	物流単位の総面積（平方ヤード）	Virsma, kvadrātjardi	Área, Logística (Jardas Quadradas)	Área, yardas cuadradas	พื้นที่, หน่วยตารางหลา	Superficie, iarde quadrate
356n	Net weight, troy ounces (variable measure trade item)	معرف الوزن الصافي ، أوقية (قياس متغير للعنصر التجاري)	淨重，金衡盎司（變動型交易品項量測單位）	净重，金衡制盎司（变量贸易项目）	Nettogewicht in troy ounces (artikel met variabele gegevens)	Nettogewicht, Troy-Unze (Mengenvariable Handelseinheiten)	Καθαρό Βάρος, Ουγκιές Troy (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味重量（トロイオンス）	Neto svars, Trojas unces (mainīga daudzuma tirdzniecības vienības)	Peso Líquido em Onças Troy (item de dimensões variáveis)	Peso neto, onzas troy (artículo comercial de medidas variables)	น้ำหนักสุทธิ, หน่วยทรอยออนซ์ (สินค้าที่มีปริมาณผันแปร)	Peso netto, once di troy (unità commerciale a misura variabile)
357n	Net weight (or volume), ounces (variable measure trade item)	معرف الوزن الصافي (أو الحجم) ، أوقية (قياس متغير للعنصر التجاري)	淨重量（或容積），盎司（變動型交易品項量測單位）	净重（或容积），盎司（变量贸易项目）	Nettogewicht (of volume) in US ounces (artikel met variabele gegevens)	Nettogewicht (oder Volumen), Unze (Mengenvariable Handelseinheiten)	Καθαρό Βάρος/Όγκος, Ουγκιές (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味重量または容量（オンス）	Neto svars, unces (mainīga daudzuma tirdzniecības vienības)	Volume Líquido em Onças EUA (item de dimensões variáveis)	Peso neto (o volumen), onzas (artículo comercial de medidas variables)	น้ำหนักสุทธิ (หรือปริมาณ), ในหน่วยออนซ์ (สินค้าที่มีปริมาณผันแปร)	Peso netto, once (unità commerciale a misura variabile)
360n	Net volume, quarts (variable measure trade item)	معرف الحجم الصافي ، اللترات (قياس متغير للعنصر التجاري)	淨容積，夸脫（變動型交易品項量測單位）	净容积，夸脱（变量贸易项目）	Nettovolume in quarts (artikel met variabele gegevens)	Nettovolumen, Quart (Mengenvariable Handelseinheiten)	Καθαρός Όγκος, Τέταρτα Γαλονιού (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味容量（クオート）	Neto tilpums, kvarti (mainīga daudzuma tirdzniecības vienības)	Volume Líquido em Quartos (item de dimensões variáveis)	Volumen neto, cuartos (artículo comercial de medidas variables)	ปริมาตรสุทธิ, หน่วยควอร์ท (สินค้าที่มีปริมาณผันแปร)	Peso netto, quarti di gallone (unità commerciale a misura variabile)
361n	Net volume, gallons U.S. (variable measure trade item)	معرف صافي الحجم ، غالونات الولايات المتحدة (قياس متغير للعنصر التجاري)	淨容積，美國加侖（變動型交易品項量測單位）	净容积，美国加仑（变量贸易项目）	Nettovolume in US gallons (artikel met variabele gegevens)	Nettovolumen, Gallone U.S. (Mengenvariable Handelseinheiten)	Καθαρός Όγκος, Γαλόνια U.S. (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味容量（ガロン）	Neto tilpums, ASV galoni (mainīga daudzuma tirdzniecības vienības)	Volume Líquido em Galões - EUA (item de dimensões variáveis)	Volumen neto, galones estadounidenses (artículo comercial de medidas variables)	ปริมาตรสุทธิ, หน่วยแกลลอนสหรัฐอเมริกา (Gallons U.S.) (สินค้าที่มีปริมาณผันแปร)	Peso netto, galloni U.S. (unità commerciale a misura variabile)
362n	Logistic volume, quarts	معرف حجم اللوجستي ، اللترات	物流容積單位，夸脫	物流容积，夸脱	Logistiek volume in quarts	Bruttovolumen, Quart	Μικτός Όγκος, Τέταρτα Γαλονιού	物流単位の総容量（クォート）	Loģistikas tilpums, kvarti	Volume Bruto (Quartos)	Volumen logístico, cuartos	ปริมาตรของหน่วยขนส่ง, หน่วยควอร์ท	Volume logistico, quarti di gallone
363n	Logistic volume, gallons U.S.	معرف الحجم اللوجستي ، غالونات الولايات المتحدة	物流容積單位，美國加侖	物流容积，美国加仑	Logistiek volume in US gallons	Bruttovolumen, Gallone U.S.	Μικτός Όγκος, Γαλόνια Η.Π.Α.	物流単位の総容量（ガロン）	Loģistikas tilpums, ASV galoni	Volume Bruto (Galões) (EUA)	Volumen logístico, galones estadounidenses	ปริมาตรของหน่วยขนส่ง, หน่วยแกลลอนสหรัฐอเมริกา (Gallons U.S.)	Volume logistico, galloni U.S.
364n	Net volume, cubic inches (variable measure trade item)	معرف الحجم الصافي ، إنش مكعب (قياس متغير للعنصر التجاري)	淨容積，立方英呎（變動型交易品項量測單位）	净容积，立方英寸（变量贸易项目）	Nettovolume in kubieke inches (artikel met variabele gegevens)	Nettovolumen, Cubic Inch (Mengenvariable Handelseinheiten)	Καθαρός Όγκος, Κυβ. Ίντσες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味体積（立方インチ）	Neto tilpums, kubikcollas (mainīga daudzuma tirdzniecības vienības)	Volume Líquido em Polegadas Cúbicas (item de dimensões variáveis)	Volumen neto, pulgadas cúbicas (artículo comercial de medidas variables)	ปริมาตรสุทธิ, หน่วยลูกบาศก์นิ้ว (สินค้าที่มีปริมาณผันแปร)	Volume netto, pollici cubi (unità commerciale a misura variabile)
365n	Net volume, cubic feet (variable measure trade item)	معرف الحجم الصافي ، قدم مكعبة (قياس متغير للعنصر التجاري)	淨容積，立方英吋（變動型交易品項量測單位）	净容积，立方英尺（变量贸易项目）	Nettovolume in kubieke feet (artikel met variabele gegevens)	Nettovolumen, Cubic Feet (Mengenvariable Handelseinheiten)	Καθαρός Όγκος, Κυβ. Πόδια (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味体積（立方フィート）	Neto tilpums, kubikpēdas (mainīga daudzuma tirdzniecības vienības)	Volume Líquido em Pés Cúbicos (item de dimensões variáveis)	Volumen neto, pies cúbicos (artículo comercial de medidas variables)	ปริมาตรสุทธิ, หน่วยลูกบาศก์ฟุต (สินค้าที่มีปริมาณผันแปร)	volume netto, piedi al cubo (unità commerciale a misura variabile)
366n	Net volume, cubic yards (variable measure trade item)	معرف الحجم الصافي ، ياردة مكعبة (قياس متغير للعنصر التجاري)	淨容積，立方碼（變動型交易品項量測單位）	净容积，立方码（变量贸易项目）	Nettovolume in kubieke yards (artikel met variabele gegevens)	Nettovolumen, Cubic Yard (Mengenvariable Handelseinheiten)	Καθαρός Όγκος, Κυβ. Γιάρδες (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の正味体積（立方ヤード）	Neto tilpums, kubikjardi (mainīga daudzuma tirdzniecības vienības)	Volume Líquido em Jardas Cúbicas (item de dimensões variáveis)	Volumen neto, yardas cúbicas (artículo comercial de medidas variables)	ปริมาตรสุทธิ, หน่วยลูกบาศก์หลา (สินค้าที่มีปริมาณผันแปร)	Volume netto, iarde al cubo (unità commerciale a misura variabile)
367n	Logistic volume, cubic inches	معرف الحجم اللوجستي ، إنش مكعب	淨容積，立方英呎	物流容积，立方英寸	Logistiek volume in kubieke inches	Bruttovolumen, Cubic Inch	Μικτός Όγκος Logistics, Κυβ. Ίντσες	物流単位の総体積（立方インチ）	Loģistikas tilpums, kubikcollas	Volume Bruto (Polegadas Cúbicas)	Volumen Logistic, pulgadas cúbicas	ปริมาตรหน่วยขนส่ง, หน่วยลูกบาศก์นิ้ว	Volume logistico, pollici al cubo
368n	Logistic volume, cubic feet	معرف الحجم اللوجستي ، قدم مكعب	淨容積，立方英吋	物流容积，立方英尺	Logistiek volume in kubieke feet	Bruttovolumen, Cubic Feet	Μικτός Όγκος Logistics, Κυβ. Πόδια	物流単位の総体積（立方フィート）	Loģistikas tilpums, kubikpēdas	Volume Bruto (Pés Cúbicos)	Volumen logístico, de pies cúbicos	ปริมาตรหน่วยขนส่ง, หน่วยลูกบาศก์ฟุต	Volume logistico, piedi al cubo
369n	Logistic volume, cubic yards	معرف الحجم اللوجستي ، ياردة مكعب	淨容積，立方碼	净容积，立方码	Logistiek volume in kubieke yards	Bruttovolumen, Cubic Yard	Μικτός Όγκος Logistics, Κυβ. Γιάρδες	物流単位の総体積（立方ヤード）	Loģistikas tilpums, kubikjardi	Volume Bruto (Jardas Cúbicas)	Volumen logístico, yardas cúbicas	ปริมาตรหน่วยขนส่ง, หน่วยลูกบาศก์หลา	Volume logistico, iarde al cubo
37	Count of trade items or trade item pieces contained in a logistic unit	عدد  وحدات المنتج أو قطع الوحدات التجارية الموجودة في الوحدة اللوجيستية.	物流包裝之內裝品項或部件的數量	物流单元內贸易项目或部件的数量	Aantal onderliggende artikelen of delen van artikelen in een logistieke eenheid	Anzahl in einer Transporteinheit enthaltenen Einheiten oder Teile einer Handelseinheit	Πλήθος μονάδων εμπορίας ή τμημάτων μονάδων εμπορίας που εμπεριέχονται σε μια μονάδα logistics	物流単位に含まれる最大梱包レベル（ケースなど）の入り数、または商品（GTIN）を構成する部品、部材の入り数	Tirdzniecības vienību skaits vai loģistikas vienībā esošo tirdzniecības vienību skaits	Quantidade de GTIN's (contidos na Unidade Logística)	Conteo de artículos comerciales o piezas de artículos comerciales contenidos en una unidad logística	จำนวนของสินค้า หรือจำนวนชิ้นสินค้าที่บรรจุในหน่วยขนส่ง	Numero delle unità commerciali
390n	Amount payable or coupon value - Single monetary area	معرف المبلغ الواجب دفعه أو قيمة الكوبون ، بالعملة المحلية	應付款項或折價券價值，當地貨幣	单一货币区内应付款金额或优惠券价值	Bedrag of coupon waarde, in lokale valuta	Fälliger Betrag oder Couponwert – gegebener Währungsbereich	Πληρωτέο Ποσό - Περιοχή Ενιαίας Νομισματικής Μονάδας	支払金額またはクーポン金額（各国通貨）	Piemērojamā samaksas summa vai kupona vērtība vietējā valūtā	Valor a Pagar – Área Monetária Única	Cantidad aplicable a pagar o valor de cupón/descuento, moneda local	จำนวนเงินที่สามารถชำระได้ หรือ มูลค่าคูปอง ค่าเงินท้องถิ่น	Importo da pagare, con valuta locale
391n	Amount payable and ISO currency code	معرف المبلغ الواجب دفعه مع رمز العملة حسب الايزو ISO	應付款項與ISO貨幣代碼	具有ISO货币代码的应付款金额	Bedrag in ISO valuta code	Fälliger Betrag – mit ISO Währungscode	Πληρωτέο Ποσό - Με ISO Κωδικό Νομίσματος	支払金額（ＩＳＯ通貨コード）	Piemērojamā samaksas summa, izmantojot ISO valūtas kodu	Valor a Pagar – com Código ISO da Unidade Monetária	Cantidad aplicable a pagar con código de moneda ISO	จำนวนเงินที่สามารถชำระได้ด้วยรหัสสกุลเงินตามมาตรฐาน ISO	Importo da pagare, con codice valuta ISO
392n	Amount payable for a variable measure trade item – Single monetary area	معرف المبلغ الواجب دفعه ، منطقة نقدية وحيدة (قياس متغير لوحدة المنتج)	應付款項，單一貨幣區域（變動型交易品項量測單位）	单一货币区内变量贸易项目的应付款金额	Bedrag voor artikelen met variabele hoeveelheid in lokale valuta	Zu zahlender Betrag – gegebener Währungsbereich	Πληρωτέο Ποσό - Περιοχή Ενιαίας Νομισματικής Μονάδας (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の支払金額 （同一通貨圏）	Piemērojamā samaksas summa vienotas valūtas telpā (mainīga daudzuma tirdzniecības vienība)	Valor a Pagar por Item Comercial de Medida Variável - Área Monetária Única	Importe aplicable a pagar, zona monetaria única (artículo comercial de medida variable)	จำนวนเงินที่สามารถชำระได้, หน่วยเงินตราเดียว (สินค้าที่มีปริมาณผันแปร)	Importo da pagare, singola unità monetaria (unità commerciale a misura variabile)
393n	Amount payable for a variable measure trade item and ISO currency code	معرف المبلغ الواجب دفعه باستخدام رمز عملة الايزو ISO (قياس متغير لوحدة المنتج)	應付款項與ISO貨幣代碼（變動型交易品項量測單位）	具有ISO货币代码的变量贸易项目应付款金额	Bedrag voor artikelen met variabele hoeveelheid in ISO valuta code	Zu zahlender Betrag – mit ISO Währungscode	Πληρωτέο Ποσό - Με ISO Κωδικό Νομίσματος (Μονάδες Εμπορίας Μεταβλητής Μέτρησης)	不定貫商品の支払金額（ISO通貨コード）	Piemērojamā samaksas summa, izmantojot ISO valūtas kodu (mainīga daudzuma tirdzniecības vienība)	Valor a Pagar por Item Comercial de Medida Variável - com Código ISO da Unidade Monetária	Importe aplicable a pagar con código de moneda ISO (artículo comercial de medida variable)	จำนวนเงินที่สามารถชำระได้ด้วยรหัสสกุลเงินตามมาตรฐาน ISO (สินค้าที่มีปริมาณผันแปร)	Importo da pagare, con codice valuta ISO (unità commerciale a misura variabile)
394n	Percentage discount of a coupon	الرقم المرجعي لقسيمة الدفع	收據條索引碼	优惠券抵扣百分比	Acceptgirokaart referentienummer	Prozentrabatt eines Coupons	Κωδικός Αναφοράς Ειδοποιήσεων Πληρωμής	クーポンの割引率	Rēķina atsauces numurs	Percentagem de Desconto de um Coupon	Número de referencia de comprobante de pago	เปอร์เซ็นต์ส่วนลดของคูปอง	Percentuale di sconto di un coupon
395n	Amount Payable per unit of measure single monetary area (variable measure trade item)	المبلغ المستحق للدفع لكل وحدة قياس نقدية مفردة (الوحدة التجارية متغيرة  القياس)	單一幣值區域的每單位價格(變動型交易品項量測單位)	单一货币区内每一计量单位的应付金额（变量贸易项目）	Bedrag per maateenheid voor artikelen met variabele hoeveelheid in lokale valuta	Zu zahlender Betrag pro Maßeinheit in der lokalen Währung (Mengenvariable Handelseinheiten)	Πληρωτέο ποσό ανά μονάδα μέτρησης ενιαία νομισματική ζώνη (στοιχείο συναλλαγών μεταβλητής μέτρησης)	不定貫商品の単位当たり支払金額（同一通貨圏）	Piemērojamās samaksas summa par mērvienību vienotā monetārā zonā (mainīga daudzuma tirdzniecības vienība)	Valor a Pagar por Unidade de Medida (Item Comercial de Medida Variável) - Área Monetária Única	Monto a pagar por unidad de medida, usa sólo un tipo de moneda (artículo comercial de medida variable)	ราคาต่อหน่วยในพื้นที่สกุลเงินเดียว (สินค้าที่มีปริมาณผันแปร)	Importo da pagare per unità di misura, singola unità monetaria (unità commerciale a misura variabile)
400	Customer’s purchase order number	رقم طلب الشراء للمتعاملين	訂單號碼	客户订购单代码	Ordernummer van de klant	Bestell-/Auftragsnummer des Warenempfängers	Κωδικός Παραγγελίας Πελάτη	顧客発注番号	Klienta pirkuma pasūtījuma numurs	Número de Nota de Encomenda/ Pedido de Compra do Cliente	Número de orden de compra del cliente	เลขที่ใบสั่งซื้อของลูกค้า	Numero d’ordine d’acquisto del cliente
401	Global Identification Number for Consignment (GINC)	رقم التعريف العالمي للإرسالية GINC	貨物託運號碼 (GINC)	全球托运标识代码 (GINC)	Global Identification Number for Consignment (GINC)	Global Identification Number for Consignment (GINC)	Κωδικός Αναγνώρισης Συνδυασμένου Φορτίου - Ginc	委託貨物識別番号（GCIN）	Globālais konosamenta identifikācijas numurs (GINC)	Número Global de Identificação de Consignação (GINC)	Número de Identificación Global para Consignación (GINC)	เลขหมายบ่งชี้สากลสำหรับกลุ่มของหน่วยขนส่ง (GINC)	Codice di identificazione della Consegna (GINC)
402	Global Shipment Identification Number (GSIN)	رقم تعريف الشحنة العالمية GSIN	運送識別號碼 (GSIN)	全球装运标识代码 (GINC)	Global Shipment Identification Number (GSIN)	Global Shipment Identification Number (GSIN)	Κωδικός Αναγνώρισης Μεμονωμένου Φορτίου - Gsin	出荷識別番号（GSIN）	Globālais Sūtījuma Identifikācijas numurs (GSIN)	Número Global de Identificação de Identificação da Encomenda (GSIN)	Número de Identificación Global de Envío (GSIN)	เลขหมายบ่งชี้สากลสำหรับกลุ่มของหน่วยขนส่งที่ถูกส่งมอบพร้อมกัน (GSIN)	Codice di identificazione della Spedizione (GSIN)
403	Routing code	رقم مسار / توجيه	運輸路徑號碼 (GLN)	路径代码	Routecode	Leitcode, Routing Code	Κωδικός Δρομολογίου	追跡コード	Maršruta kods	Código de Rota	Número/Código de ruta	รหัสเส้นทาง	Codice smistamento pacchi
410	Ship to / Deliver to Global Location Number (GLN)	شحن إلى - تسليم إلى رقم الموقع العالمي	收件人位置碼 (GLN)	交货地全球位置码 (GLN)	Verzend naar / adrescode (GLN)	Global Location Number (GLN) des Warenempfängers	“Αποστολή Προς/Παράδοση Σε Διεθνή Κωδικό Θέσης GLN	出荷先（納品先）コードとして使用する、企業・事業所識別コード（GLN）	Piegādāt uz / nosūtīt uz Globālais Vietas Numurs (GVN)	Número Global de Localização (GLN) do Local de Entrega	Enviar a / Enviar a Número Global de Localización	เลขหมายบ่งชี้ที่ตั้งสากล (GLN) ของผู้รับสินค้าปลายทาง	Spedire a/ consegnare a “GLN”
411	Bill to / Invoice to Global Location Number (GLN)	فاتورة إلى - الفاتورة إلى رقم الموقع العالمي	發票開立對象位置碼 (GLN)	受票方全球位置码 (GLN)	Facturatie naar / adrescode (GLN)	Global Location Number (GLN) des Rechnungsempfängers	“Χρέωση Σε/Τιμολόγιο Προς Διεθνή Κωδικό Θέσης GLN	請求先コードとして使用する、企業・事業所識別コード（GLN）	Rēķinu kam Globālais Vietas Numurs (GVN)	Número Global de Localização (GLN) do Local de Faturação	Cobrar a / Facturar a Número Global de Localización	เลขหมายบ่งชี้ที่ตั้งสากล (GLN) ของผู้รับใบเสร็จปลายทาง	Fatturare a “GLN”
412	Purchased from Global Location Number (GLN)	تم شراؤة من رقم الموقع العالمي	賣方位置碼 (GLN)	供货方全球位置码 (GLN)	Adrescode (GLN) van de leverancier	Global Location Number (GLN) des Lieferanten	Αγορά Από Διεθνή Κωδικό Θέσης GLN	商品仕入先企業コードとして使用する、企業・事業所識別コード（GLN）	Pirkts no Globalais Vietas Numurs (GVN)	Número Global de Localização (GLN) do Local de Compra	Comprado de Número Global de Localización	เลขหมายบ่งชี้ที่ตั้งสากล (GLN) ของผู้ขายสินค้า	Acquistato da “GLN”
413	Ship for / Deliver for - Forward to Global Location Number (GLN)	شحن إلى - يسلم إلى - يرسل إلى رقم الموقع العالمي	寄至或送至對象位置碼 (GLN)	最终目的地全球位置码 (GLN)	Adrescode (GLN) van de eindbestemming	Global Location Number (GLN) des Endempfängers (bei gebrochenem Transport)	“Αποστολή Προς/Παράδοση Για Λογαρισμό Του/Προώθηση Στον” Διεθνή Κωδικό Θέσης GLN	（荷受人が決める）最終納品場所コードとして使用する、企業・事業所識別コード（GLN）	Piegādāt kam Globālais Vietas Numurs (GVN)	Número Global de Localização (GLN) do local para onde Despachar / Reencaminhar	Enviar para / Entregar - Reenviar a Número Global de Localización	เลขหมายบ่งชี้ที่ตั้งสากล (GLN) ของผู้รับสินค้า	Spedire per/ Consegnare per/ Inoltrare a “GLN”
414	Identification of a physical location - Global Location Number (GLN)	تعريف موقع فعلي - رقم الموقع العالمي	實體位置碼 (GLN)	标识物理位置的全球位置码 (GLN)	Identificatie van een fysieke locatie - adrescode (GLN)	Global Location Number (GLN) zur Identifikation einer physischen Lokation	Αναγνώριση Μιας Φυσικής Τοποθεσίας Με  Διεθνή Κωδικό Θέσης GLN	物理的なロケーションを表すコードとして使用する、企業・事業所識別コード（GLN）	Fiziskās atrašanas vietas identifikācija, Globālais Vietas Numurs (GVN)	Número Global de Localização (GLN) para Identificação Física de um Local	Identificación de un lugar físico - Número de Localización Global	เลขหมายบ่งชี้ที่ตั้งสากล (GLN)	Identificazione di un luogo fisico “GLN"
415	Global Location Number (GLN) of the invoicing party	رقم الموقع العالمي للجهة مصدر الفاتورة	發票開立方位置碼 (GLN)	开票方的全球位置码 (GLN)	Adrescode (GLN) van de facturerende partij	Global Location Number (GLN) des fakturierenden Teilnehmers	Διεθνής Κωδικός Θέσης GLN Του Τιμολογούντος	請求書発行者（支払先）コードとして使用する、企業・事業所識別コード（GLN）	Maksājuma saņēmējas puses Globālais Vietas Numurs (GVN)	Número Global de Localização (GLN) do Parceiro que fatura	Número Global de Localización del emisor de la factura	เลขหมายบ่งชี้ที่ตั้งสากล (GLN) ของผู้ออกใบแจ้งหนี้	GLN del soggetto fatturatore
416	Global Location Number (GLN) of the production or service location	رقم الموقع العالمي لموقع الإنتاج أو الخدمة	生產或服務位置碼 (GLN)	生产或服务的全球位置码 (GLN)	Adrescode (GLN) van de productie- of servicelocatie	Global Location Number (GLN) des Produktions- oder Servicestandorts	Διεθνής Κωδικός Θέσης GLN Της Τοποθεσίας Παραγωγής Ή Παροχής Της Υπηρεσίας	生産された場所または、サービスが実施された場所のコードとして使用する、企業・事業所識別コード（GLN）	Ražošanas vai pakalpojuma vietas Globālais Vietas Numurs (GVN)	Número Global de Localização (GLN) do Local de Produção ou Serviço	GLN del lugar de producción o servicio	เลขหมายบ่งชี้ที่ตั้งสากล (GLN) ของสถานที่ผลิตหรือสถานที่ให้บริการ	GLN del luogo di produzione o servizio
417	Party Global Location Number (GLN)	معرف رمز الكوبون غير الورقية للاستخدام في أمريكا الشمالية	北美無紙化折價券代碼	参与方全球位置码（GLN）	Elektronische couponcode voor Noord-Amerika	Global Location Number (GLN) einer Organisation	Μη Εκτυπωμένος Κωδικός Αναγνώρισης Κουπονιού Για Χρήση Στη Β. Αμερική	当事者である企業・組織・団体を識別するコードとして使用する企業・事業所識別コード（GLN）	Bezpapīra kupona identifikācijas kods Ziemeļamerikas lietotājiem	Número Global de Localização (GLN) do Operador	Identificación de código de cupón sin papel para uso en América del Norte	เลขหมายบ่งชี้ที่ตั้งสากล (GLN) ของกลุ่ม	GLN dell’entità legale
420	Ship to / Deliver to postal code within a single postal authority	شحن إلى - تسليم إلى الرمز البريدي بواسطة سلطة بريدية واحدة	收件人郵遞區號及單一郵票機構	同一行政区域内交货地邮政编码	Verzend naar binnenlandse postcode	Postleitzahl des Empfängers (ohne Ländercode)	“Αποστολή Προς/Παράδοση Σε” Ταχυδρομικό Κωδικό Που Εμπίπτει Στην Αρμοδιότητα Μιας Μόνο Ταχυδρομικής Αρχής	出荷先/配達先の郵便番号	Piegādāt uz / nosūtīt uz pasta kods vienas pasta iestādes robežās	Entregar a/para – (Código Postal)	Enviar a / Enviar a código postal dentro de una única autoridad postal	รหัสไปรษณีย์ภายใต้ที่ทำการไปรษณีย์เดียวกัน ของผู้รับสินค้าปลายทาง	Spedire a / consegnare a con codice postale
421	Ship to / Deliver to postal code with ISO country code	شحن إلى - تسليم إلى الرمز البريدي مع رمز البلد	收件人郵遞區號及ISO國家代碼	具有3位ISO国家（或地区）代码的交货地邮政编码	Verzend naar buitenlandse postcode met ISO landencode	Postleitzahl des Empfängers (mit vorangestelltem 3-stelligen ISO Ländercode)	“Αποστολή Προς/Παράδοση Σε” Ταχυδρομικό Κωδικό Με Τριψήφιο ISO Κωδικό Χώρας	ISO国コードおよび出荷先/配達先の郵便番号	Piegādāt uz / nosūtīt uz pasta kods ar ISO valsts kodu	Entregar a/para – (ISO 3166 de País com o Código Postal)	Enviar a / Enviar a código postal con código de país ISO	รหัสไปรษณีย์ที่มีรหัสประเทศตามมาตรฐาน ISO ของผู้รับสินค้าปลายทาง	Spedire a/ Consegnare a con codice nazionale ISO
422	Country of origin of a trade item	بلد المنشأ الخاص بالمنتج	交易品項原產國	贸易项目原产国（或地区）	Land van oorsprong	Ursprungsland der Ware	Χώρα Προέλευσης Μιας Μονάδας Εμπορίας	原産国コード	Tirdzniecības vienības izcelsmes valsts	País de Origem do Item Comercial	País de origen de un artículo comercial	ประเทศแหล่งกำเนิดสินค้า	Paese di origine dell’unità commerciale
423	Country of initial processing	بلد التجهيز الأولي	交代作業國家	贸易项目初始加工国家（或地区）	Land van begin bewerkingsproces	Länder der ersten Verarbeitungsstufe	Χώρα Αρχικής Επεξεργασίας	商品の一次加工国コード	Sākotnējās apstrādes valsts	País de Processamento Inicial	País de procesamiento inicial	ประเทศผู้เริ่มต้นดำเนินการ	Paese di lavorazione iniziale
424	Country of processing	بلد التجهيز	執行作業國家	贸易项目加工国（或地区）	Land van bewerkingsproces	Land der Verarbeitung	Χώρα Επεξεργασίας	商品の加工国コード	Apstrādes valsts	País de Processamento	País de procesamiento	ประเทศผู้ดำเนินการ	Paese di lavorazione
425	Country of disassembly	بلد إعادة التفكيك والتجهيز	分解作業國家	贸易项目拆分国（或地区）	Land van demontage	Land der Zerlegung	Χώρα Αποσυναρμολόγησης	商品の分解・解体国コード	Izkomplektēšanas valsts	País de Fracionamento/Desmontagem	País de desmontaje	ประเทศผู้ถอดชิ้นส่วนประกอบ	Paese di sezionamento
